Country,Confirmed,Deaths,Recovered,Active,Population,Continent 
Aruba,,,,,106766,North America
Africa Eastern and Southern,6.8141767,1326.663658,,,677243299,Africa
Afghanistan,11.73,508.8084095,,,38928341,Asia
Africa Western and Central,6.300104721,1714.4268,,,458803476,Africa
Angola,7.7,1895.770869,,,32866268,Africa
Albania,11.7,5215.276752,,,2837743,Europe
Andorra,,,,,77265,Europe
Arab World,11.48156506,5802.104129,,,436080728,Asia
United Arab Emirates,5,,,,9890400,Asia
Argentina,11.67,8441.919439,,,45376763,North America
Armenia,20.21,4267.452119,,,2963234,Asia
North American Samoa,,,,,55197,Oceania
Antigua and Barbuda,,14449.99652,,,97928,North America
Australia,6.61,51812.15404,,,25687041,Oceania
Austria,5.77,48105.36462,,,8917205,Europe
Azerbaijan,6.27,4214.311336,,,10110116,Europe
Burundi,0.8,274.0095232,,,11890781,Africa
Belgium,6.01,44594.37811,,,11555997,Europe
Benin,2.54,1291.040962,,,12123198,Africa
Burkina Faso,4.96,830.9251446,,,20903278,Africa
Bangladesh,5.3,1968.792225,,,164689383,Asia
Bulgaria,5.71,9975.780001,,,6927288,Europe
Bahrain,4.09,,,,1701583,Asia
"Bahamas, The",14.41,28607.90138,,,393248,North America
Bosnia and Herzegovina,16.85,6031.556869,,,3280815,Europe
Belarus,5.28,6411.227813,,,9398861,Europe
Belize,7.82,4435.621154,,,397621,North America
Bermuda,,,,,63903,North America
Bolivia,5.61,3143.045494,,,11673029,North America
Brazil,13.67,6796.844542,,,212559409,South America
Barbados,12.79,15191.16404,,,287371,North America
Brunei Darussalam,8.37,27466.33964,,,437483,Asia
Bhutan,3.74,3122.376062,,,771612,Asia
Botswana,17.7,6710.990411,,,2351625,Africa
Central African Republic,4.33,476.8511127,,,4829764,Africa
Canada,9.48,43241.61783,,,38005238,North America
Central Europe and the Baltics,4.561819653,16082.45771,,,102246330,Europe
Switzerland,4.94,86601.55641,,,8636896,Europe
Channel Islands,8.16,,,,173859,Asia
Chile,11.51,13231.70421,,,19116209,North America
China,5,10500.39562,,,1402112000,Asia
Cote d'Ivoire,3.5,2325.723705,,,26378275,Africa
Cameroon,3.62,1499.372843,,,26545864,Africa
"Congo, Dem. Rep.",4.55,556.8131853,,,89561404,Africa
"Congo, Rep.",10.27,1972.545246,,,5518092,Africa
Colombia,15.44,5332.773524,,,50882884,North America
Comoros,8.43,1402.595489,,,869595,Africa
Cabo Verde,13.41,3064.272388,,,555988,Africa
Costa Rica,17.08,12076.81451,,,5094114,North America
Caribbean small states,9.798045914,9192.767801,,,7442291,Africa
Cuba,3.87,,,,11326616,North America
Curacao,,,,,155014,North America
Cayman Islands,,,,,65720,North America
Cyprus,7.21,26623.80089,,,1207361,Europe
Czech Republic,2.94,22762.19714,,,10698896,Europe
Germany,4.31,45723.6441,,,83240525,Europe
Djibouti,11.57,3425.50345,,,988002,Africa
Dominica,,6526.793215,,,71991,North America
Denmark,5.66,60908.83513,,,5831404,Europe
Dominican Republic,8.9,7268.19691,,,10847904,North America
Algeria,12.83,3310.386534,,,43851043,Africa
East Asia & Pacific (excluding high income),4.389179971,8291.745976,,,2105003391,Asia
Early-demographic dividend,6.864865785,3254.969411,,,3332105361,
East Asia & Pacific,4.338749126,,,,2352037717,Asia
Europe & Central Asia (excluding high income),7.965880748,7656.593919,,,420249459,Europe
Europe & Central Asia,7.406752135,23780.38847,,,923489941,Europe
Ecuador,6.23,5600.389615,,,17643060,North America
"Egypt, Arab Rep.",10.45,3547.870848,,,102334403,Africa
Euro area,8.203256028,37712.12083,,,342949773,Europe
Eritrea,7.44,,,,,Africa
Spain,15.67,27057.16352,,,47351567,
Estonia,6.46,23312.27633,,,1331057,Europe
Ethiopia,2.79,936.3404611,,,114963583,Africa
European Union,7.374928179,33927.7189,,,447794691,Europe
Fragile and conflict affected situations,6.873124307,1864.57941,,,930006546,
Finland,7.83,49041.34226,,,5530719,Europe
Fiji,4.79,4881.526069,,,896444,Oceania
France,8.62,38625.06738,,,67391582,Europe
Faroe Islands,,,,,48865,Europe
"Micronesia, Fed. Sts.",,,,,115021,Oceania
Gabon,20.47,7005.879097,,,2225728,Africa
United Kingdom,4.34,40284.63846,,,67215293,Europe
Georgia,12.05,4278.860771,,,3714000,Europe
Ghana,4.53,2328.534642,,,31072945,Africa
Gibraltar,,,,,33691,Europe
Guinea,4.35,1194.037865,,,13132792,Africa
"Gambia, The",9.64,787.0064509,,,2416664,Africa
Guinea-Bissau,3.16,727.5201717,,,1967998,Africa
Equatorial Guinea,9.15,7143.238705,,,1402985,Africa
Greece,16.85,17676.19248,,,10715549,Europe
Grenada,,9680.175825,,,112519,North America
Greenland,,,,,56367,North America
Guatemala,4.65,4603.339617,,,16858333,North America
Guam,7.51,,,,168783,Oceania
Guyana,15.82,6955.939217,,,786559,North America
High income,6.808481801,43833.93156,,,1214930230,
"Hong Kong SAR, China",5.8,46323.86344,,,7481800,Asia
Honduras,9.39,2405.732848,,,9904608,North America
